Name,Country,Domain / Website,Category / Notes
Enlighten International Education Pvt. Ltd,Nepal,Not verified,"MOEST Approval No. 103; Address: Bagbazar-28, Kathmandu, Nepal; Services: Educational Counselling, Preparation Classes (IELTS) Language Teaching (English Korean, Japanese, Chinese)"
K.I.E.C. Pvt. Ltd,Nepal,Not verified,"MOEST Approval No. 104; Address: 44/05 Lalupate Marg, Putalisadak, Ward No 29, Kathmandu, Nepal; Services: Educational Counselling, Preparation Classes IELTS and Language Teaching Japanese"
Arrow International Education Consultancy Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 105; Address: Putalisadak, 28 Kathmandu, Nepal; Services: Educational Counselling, Preparation Classes IELTS, Language Teaching Japanese"
Speed International Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 106; Address: Putalisaak-28, Kathmandu; Services: Educational Counselling"
Royal Educational Foundation Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 108; Address: New Baneshwor, Kathmandu; Services: Educational Counselling, Preparation Classes IELTS"
Global Visa Advisor Education Consultancy Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 110; Address: Block No.1259, 3rd Floor, Dillibazar, Kathmandu; Services: Educational Counselling Preparation Classes IELTS, language Teaching classes English"
The Official Representative,Nepal,Not verified,"MOEST Approval No. 111; Address: Baneshwor, Kathmandu; Services: na"
Global Education Services Pvt.Ltd.,Nepal,Not verified,MOEST Approval No. 112; Address: ; Services: Educational Counselling
Kathmandu Int'l Educational Associates Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 113; Address: Kupondole 10(Near Kandevsthan), Lalitpur; Services: Educational Counselling"
Active Abroad Education Consultancy Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 115; Address: Samakhushi, kathmandu; Services: Educational Counselling and Language Teaching Japanese"
Raffles Educare Associates Pvt. Ltd.,Nepal,Not verified,MOEST Approval No. 116; Address: Putalisadak (Way to Dillibazar); Services: Educational Counselling
Seaford Educational Consultancy Pvt.Ltd,Nepal,Not verified,"MOEST Approval No. 117; Address: Kumaripati 05, Lalitpur; Services: Educational Counselling, Preparation Classes IELTS"
EDU BRIDGE P.LTD,Nepal,Not verified,MOEST Approval No. 119; Address: kamaladi; Services: Educational Counselling
Visa Counsel Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 120; Address: Siddhibinayak Bhawan, Putalisadak, Ward No. 28, Kathmandu, Nepal; Services: Educational Counselling, Preparation Classes IELTS"
Global Choice Education Consultant Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 121; Address: Star Mall second floor, Putalisadak, 30 Kathmandu; Services: Educational Counselling, Preparation Classes - IELTS, Language Teaching English, Japanese"
Pathfinders international Education P.Ltd,Nepal,Not verified,"MOEST Approval No. 122; Address: Putalisadak-31, Kathmandu; Services: Educational Counselling, Preparation Classes IELTS"
Saint Francis International Education Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 123; Address: Chabahil-07, Kathmandu, Nepal; Services: Educational Counselling, Preparation Classes IELTS"
Nepal Heritage Abroad Education Consultancy P.Ltd,Nepal,Not verified,"MOEST Approval No. 124; Address: Putalisadak,Kathmandu,Nepal; Services: Educational Counselling"
Kantipur International Open Education Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 125; Address: New Baneshwor, Kathmandu, Nepal; Services: Educational Counselling Preparation Classes IELTS, language Teaching classes English"
Standard Education For Abroad Study and Vocational Training Private Limited,Nepal,Not verified,"MOEST Approval No. 127; Address: Kathmandu 28, Putalisadak, Kathmandu, Nepal; Services: Educational Counselling"
Link USA Educational Consultancy Service Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 128; Address: Bharatpur Metropoltan city -3, Chitwan; Services: Educational Counselling, language Teaching Japanese"
