Name,Country,Domain / Website,Category / Notes,Registration / Corporate Status,Regulatory Body (HQ jurisdiction),Operating Status,Legal Cases,Penalty History
TEKsystems,United States,teksystems.com,IT staffing,Subsidiary of Allegis Group (private),US Dept. of Labor,Active / operating,"FLSA overtime-exemption lawsuit brought by recruiters (partial summary judgment granted to workers, Feb 2026, W.D. Pa.); willfulness of violation still disputed. Also pursuing non-compete litigation against former employees and Highspring/Vaco (Maryland & Florida, 2025-26)",No settlement finalized as of search date; overtime case ongoing
Experis,United States,experis.com,IT staffing (ManpowerGroup),"Subsidiary of ManpowerGroup (public, NYSE: MAN)",US Dept. of Labor,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Robert Walters,United Kingdom,robertwalters.com,Specialist recruitment,Public (LSE: RWA),UK Employment Agency Standards (EAS) Inspectorate,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Harvey Nash,United Kingdom,harveynash.com,Technology recruitment,Subsidiary of Nash Squared (private),UK Employment Agency Standards (EAS) Inspectorate,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
SThree,United Kingdom,sthree.com,STEM specialist recruitment,Public (LSE: STEM),UK Employment Agency Standards (EAS) Inspectorate,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Cielo Talent,United States,cielotalent.com,RPO (recruitment process outsourcing),Private,US Dept. of Labor,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
AMS (Alexander Mann Solutions),United Kingdom,weareams.com,RPO / talent solutions,Private,UK Employment Agency Standards (EAS) Inspectorate,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Volt Information Sciences,United States,volt.com,Staffing,Public (OTC: VISI),US Dept. of Labor,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
CareerBuilder,United States,careerbuilder.com,Job board / staffing,Private,"US Dept. of Labor (job board, lighter staffing regulation)",Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Monster Worldwide,United States,monster.com,Job board,Private (owned by Randstad),US Dept. of Labor (job board),Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Glassdoor,United States,glassdoor.com,Job board / employer reviews,Private (owned by Recruit Holdings),"US (job board / review platform, minimal staffing-specific licensing)",Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
ZipRecruiter,United States,ziprecruiter.com,Job board,Public (NYSE: ZIP),US Dept. of Labor (job board),Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Indeed,United States,indeed.com,Job board,Private (owned by Recruit Holdings),"US (job board, minimal staffing-specific licensing)",Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Naukri.com (Info Edge),India,naukri.com,Job board,Public (NSE/BSE India: NAUKRI),"Indian Ministry of Labour and Employment (job board, lighter regulation)",Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Reed,United Kingdom,reed.co.uk,Recruitment & job board,Private,UK Employment Agency Standards (EAS) Inspectorate,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
TrueBlue Inc,United States,trueblue.com,Staffing,Public (NYSE: TBI),US Dept. of Labor / state labor depts.,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
ASGN Incorporated,United States,asgn.com,IT & professional staffing,Public (NYSE: ASGN),US Dept. of Labor,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Cross Country Healthcare,United States,crosscountry.com,Healthcare staffing,Public (NASDAQ: CCRN),US state healthcare-staffing licensing boards,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
AMN Healthcare,United States,amnhealthcare.com,Healthcare staffing,Public (NYSE: AMN),US state healthcare-staffing licensing boards,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Nigel Frank International,United Kingdom,nigelfrank.com,Microsoft/tech niche recruitment,Private (part of Frank Group),UK Employment Agency Standards (EAS) Inspectorate,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Hudson RPO,Australia,hudsonrpo.com,RPO,"Private (spun off from Hudson Global, NASDAQ: HSON)",Australian Fair Work Ombudsman,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Kforce,United States,kforce.com,Tech & finance staffing,Public (NASDAQ: KFRC),US Dept. of Labor,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Aya Healthcare,United States,ayahealthcare.com,Healthcare staffing,Private,US state healthcare-staffing licensing boards,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Express Employment Professionals,United States,expresspros.com,Staffing franchise,Private (franchise model),US Dept. of Labor / state labor depts.,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Stanton Chase,United States,stantonchase.com,Executive search,Private (partnership network),US Dept. of Labor,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Go Carpathian,United Kingdom,gocarpathian.com,Flat-fee global recruitment,Private,UK Employment Agency Standards (EAS) Inspectorate,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Toptal,United States,toptal.com,Freelance talent marketplace,Private,"US (freelance marketplace, minimal staffing-specific licensing)",Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Deel,United States,deel.com,Global hiring / EOR,Private,Multi-jurisdictional (Employer-of-Record/global payroll compliance regimes),Active / operating,"Ongoing/prior trade-secret litigation with competitor Rippling (2025), unrelated to worker treatment",No major public penalty history identified in search
G-P (Globalization Partners),United States,g-p.com,Global employment platform,Private,Multi-jurisdictional (Employer-of-Record/global payroll compliance regimes),Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Oyster HR,United Kingdom,oysterhr.com,Global employment platform,Private,Multi-jurisdictional (Employer-of-Record/global payroll compliance regimes),Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Randstad Sourceright,Netherlands,randstadsourceright.com,RPO / talent solutions,"Subsidiary of Randstad NV (public, Euronext: RAND)",Dutch Labour Authority / multi-jurisdictional,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Hire With Near,United States,hirewithnear.com,LatAm remote hiring,Private,Multi-jurisdictional (LatAm remote-hiring compliance),Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
PERSOLKELLY,Singapore,persolkelly.com,APAC staffing,"Joint venture (Persol Holdings, Tokyo: 2181 / Kelly Services, NASDAQ: KELYA)",Singapore Ministry of Manpower (MOM) employment agency license,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Airswift,United Kingdom,airswift.com,Energy & engineering staffing,Private,UK Employment Agency Standards (EAS) Inspectorate,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
"— NEPAL-SPECIFIC ADDITIONS (DoFE-licensed manpower/foreign-employment agencies; curated, non-exhaustive) —",,,,,,,,
Landmark Manpower Solution Pvt. Ltd.,Nepal,lmmanpower.com,"Overseas manpower recruitment (Gulf, Europe, SE Asia); est. 2008",DoFE License No. 762/064/065,"Department of Foreign Employment (DoFE), Nepal",Active / operating (per company site),No public legal cases identified in search,Not identified in search
Aastha International Employment Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
ABC Overseas Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Access Partners Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Achieve International Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Advance Recruitment Services Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Agni Overseas Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Al Asmacs Company Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Al-Samit Manpower (P) Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Alpine Overseas Concern Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Ayush International Overseas Services Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Bhairab International Services Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Blue Sky International Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Buddha Vision Overseas Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Capital Int'l Manpower Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Global Recruit Experts Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Grand Shikhar Overseas Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Lucky HR Solution Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Oxford International Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Paradise International Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Raj Overseas (P.) Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Sky Overseas Services Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
The River Overseas (P) Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Trust Nepal Overseas (P) Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
United International Manpower Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Wise International Nepal Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
Yeti Overseas Pvt. Ltd.,Nepal,Not verified,Foreign employment recruitment agency,DoFE-licensed (license no. not independently verified),"Department of Foreign Employment (DoFE), Nepal",Status not independently verified,Not identified in search,Not identified in search
